Fecha;Interno;Km
05-07-2024;3001;280,74
05-07-2024;3002;309,18
05-07-2024;3004;65,7
05-07-2024;3005;234,36
05-07-2024;3006;285,63
05-07-2024;3007;271,61
05-07-2024;3008;226,14
05-07-2024;3009;231,73
05-07-2024;3011;144,04
05-07-2024;3012;271,09
05-07-2024;3014;266,33
05-07-2024;3015;290,64
05-07-2024;3097;232,13
05-07-2024;3098;259,47
05-07-2024;3099;264,11
05-07-2024;3100;230,25
05-07-2024;3101;249,92
05-07-2024;3102;169,16
05-07-2024;3103;195,68
05-07-2024;3104;265,32
05-07-2024;3105;267,09
05-07-2024;3106;209,45
05-07-2024;3107;266,4
05-07-2024;3108;202,48
05-07-2024;3109;112,37
05-07-2024;3110;220,33
05-07-2024;3111;278,43
05-07-2024;3112;287,52
05-07-2024;3113;166,08
05-07-2024;3114;169,73
05-07-2024;3115;271,83
05-07-2024;3116;267,52
05-07-2024;7015;145,34
05-07-2024;7016;176,29
05-07-2024;7017;243,6
05-07-2024;7018;220,3
05-07-2024;7019;154,88
05-07-2024;7020;208,38
05-07-2024;7021;174,76
05-07-2024;7022;221,98
05-07-2024;7023;163,7
05-07-2024;7024;174,78
05-07-2024;7040;128,97
05-07-2024;7071;228,72
05-07-2024;7079;224,32
05-07-2024;7080;122,72
05-07-2024;7100;222,4
05-07-2024;7101;224,94
05-07-2024;7102;222,26
05-07-2024;7103;227,83
05-07-2024;7104;158,49
05-07-2024;7105;180,7
05-07-2024;7106;222,57
05-07-2024;7107;145,55
05-07-2024;7108;262,82
05-07-2024;7110;220,03
05-07-2024;7111;220,27
05-07-2024;7112;244,03
05-07-2024;7114;179,17
05-07-2024;7115;217,97
05-07-2024;7116;222,16
05-07-2024;7117;230,74
05-07-2024;7118;259,01
05-07-2024;7119;243,47
05-07-2024;7120;195,43
05-07-2024;7121;249,08
05-07-2024;7122;226,21
05-07-2024;7123;147,96
05-07-2024;7124;200,84
05-07-2024;7125;165,95
05-07-2024;7130;239,68
05-07-2024;7131;258,61
05-07-2024;7132;256,82
05-07-2024;7133;246,95
05-07-2024;7134;228,17
05-07-2024;7135;178,74
05-07-2024;7136;207,71
05-07-2024;7137;225,74
05-07-2024;7138;294,56
06-07-2024;3001;226,61
06-07-2024;3002;209
06-07-2024;3004;213,32
06-07-2024;3005;217,17
06-07-2024;3006;225,68
06-07-2024;3007;134,57
06-07-2024;3008;237,34
06-07-2024;3009;274,54
06-07-2024;3011;172,1
06-07-2024;3012;249,69
06-07-2024;3014;273,55
06-07-2024;3015;236,8
06-07-2024;3097;258,1
06-07-2024;3098;235,79
06-07-2024;3099;265,3
06-07-2024;3100;254,57
06-07-2024;3101;117,51
06-07-2024;3102;259,15
06-07-2024;3103;198,25
06-07-2024;3104;185,08
06-07-2024;3105;184,36
06-07-2024;3106;233,58
06-07-2024;3107;100,05
06-07-2024;3108;239,72
06-07-2024;3109;219,43
06-07-2024;3110;245,66
06-07-2024;3111;242,15
06-07-2024;3112;229,62
06-07-2024;3113;168,78
06-07-2024;3114;126,33
06-07-2024;3115;178,36
06-07-2024;3116;162,22
06-07-2024;7015;92,76
06-07-2024;7016;72,61
06-07-2024;7017;82,35
06-07-2024;7018;24,92
06-07-2024;7019;97,25
06-07-2024;7020;144,73
06-07-2024;7021;83,22
06-07-2024;7022;72,37
06-07-2024;7023;74,68
06-07-2024;7024;103,11
06-07-2024;7040;127,21
06-07-2024;7071;53,2
06-07-2024;7079;211,98
06-07-2024;7080;133,11
06-07-2024;7100;251,54
06-07-2024;7101;136,73
06-07-2024;7102;188,37
06-07-2024;7103;155,98
06-07-2024;7104;202,17
06-07-2024;7105;239,16
06-07-2024;7106;192,39
06-07-2024;7107;216,69
06-07-2024;7108;19,74
06-07-2024;7111;245,79
06-07-2024;7112;185,27
06-07-2024;7114;46,26
06-07-2024;7115;252,68
06-07-2024;7116;20,89
06-07-2024;7117;149,09
06-07-2024;7118;159,59
06-07-2024;7119;190,66
06-07-2024;7120;115,27
06-07-2024;7121;159,98
06-07-2024;7122;169,01
06-07-2024;7123;158,36
06-07-2024;7124;156,75
06-07-2024;7125;205,77
06-07-2024;7130;171,49
06-07-2024;7131;88,12
06-07-2024;7132;122,77
06-07-2024;7133;74,74
06-07-2024;7135;108,52
06-07-2024;7136;87,15
06-07-2024;7137;88,4
06-07-2024;7138;170,88
07-07-2024;3001;306,79
07-07-2024;3002;175,39
07-07-2024;3004;193,46
07-07-2024;3005;273,31
07-07-2024;3006;188,75
07-07-2024;3008;207,76
07-07-2024;3009;286,34
07-07-2024;3011;140,05
07-07-2024;3012;180,73
07-07-2024;3014;229,08
07-07-2024;3015;230,18
07-07-2024;3097;126,07
07-07-2024;3098;287,5
07-07-2024;3099;240,38
07-07-2024;3100;97,06
07-07-2024;3101;282,24
07-07-2024;3102;97,26
07-07-2024;3103;105,99
07-07-2024;3104;257,77
07-07-2024;3105;144,83
07-07-2024;3106;159,63
07-07-2024;3107;163,56
07-07-2024;3108;149,61
07-07-2024;3109;108,14
07-07-2024;3110;259,33
07-07-2024;3111;229,65
07-07-2024;3112;113,57
07-07-2024;3113;257,38
07-07-2024;3114;186,72
07-07-2024;3115;168,4
07-07-2024;3116;241,58
07-07-2024;7015;92,72
07-07-2024;7017;38,54
07-07-2024;7020;50,33
07-07-2024;7021;79,14
07-07-2024;7022;89,09
07-07-2024;7040;144,64
07-07-2024;7079;168,03
07-07-2024;7080;177,13
07-07-2024;7100;191,89
07-07-2024;7101;178,66
07-07-2024;7102;176,59
07-07-2024;7103;30,11
07-07-2024;7104;188,29
07-07-2024;7105;171,06
07-07-2024;7106;151,42
07-07-2024;7107;227,79
07-07-2024;7110;185,89
07-07-2024;7111;121,71
07-07-2024;7112;162,2
07-07-2024;7115;56,06
07-07-2024;7116;192,09
07-07-2024;7117;98
07-07-2024;7118;102,22
07-07-2024;7119;143,35
07-07-2024;7120;243,12
07-07-2024;7122;129,99
07-07-2024;7123;245,66
07-07-2024;7124;205,04
07-07-2024;7125;182,64
07-07-2024;7130;150,69
07-07-2024;7131;199,06
07-07-2024;7133;49,24
07-07-2024;7134;170,56
07-07-2024;7135;212,26
07-07-2024;7137;68,88
07-07-2024;7138;16,29
08-07-2024;3001;305,97
08-07-2024;3002;262,22
08-07-2024;3004;256,19
08-07-2024;3005;249,76
08-07-2024;3006;275,77
