idinterno;odometro;patente;predio
7141;137305;SRVG81;JUANITA
7142;128041;SRVG83;JUANITA
7143;128685;SRVG86;JUANITA
7144;128141;SRVG88;JUANITA
7145;133501;SRVG91;JUANITA
7146;135062;SRVG92;JUANITA
7147;133231;SRVG94;JUANITA
7148;118645;SRVG98;JUANITA
7149;133525;SRVH10;JUANITA
7150;128394;SRVH11;JUANITA
7151;134079;SRVH13;JUANITA
7152;132318;SRVH19;JUANITA
7153;139481;SRVH22;JUANITA
7154;135008;SRVH45;JUANITA
7155;132172;SRVH71;JUANITA
7156;137653;SRVH73;JUANITA
7157;136465;SRVJ34;JUANITA
7158;131979;SRVJ39;JUANITA
7159;138211;SRVJ43;JUANITA
7160;119173;SRVJ55;JUANITA
7161;135602;SRVJ64;JUANITA
7162;134440;SRVJ78;JUANITA
7163;118666;SRVJ82;JUANITA
7164;137713;SRVJ90;JUANITA
7165;134343;SRVK11;JUANITA
7166;132852;SRVK42;JUANITA
7167;134011;SRVK61;JUANITA
7168;134425;SRVK90;JUANITA
7169;138586;SRVK97;JUANITA
7170;119914;SRVL11;JUANITA
7171;137607;SRVL15;JUANITA
7172;130321;SRVL21;JUANITA
7173;133749;SRVL24;JUANITA
7174;135961;SRVL25;JUANITA
7175;129296;SRVL35;JUANITA
7176;140730;SRVL40;JUANITA
7177;133657;SRVL45;JUANITA
7178;134238;SRVL72;JUANITA
7179;137860;SRVL75;JUANITA
7180;129129;SRVL78;JUANITA
7181;131503;STHC57;JUANITA
7182;134102;STHC95;JUANITA
7183;117332;STHD12;JUANITA
7184;136668;STHD50;JUANITA
7185;135427;STHD26;JUANITA
7186;130876;STHF36;JUANITA
7187;138865;STHF56;JUANITA
7188;134455;STHF57;JUANITA
7189;138145;STHF67;JUANITA
7190;134266;STHF69;JUANITA
7191;3286;TXZH40;JUANITA
7192;3563;TXZH41;JUANITA
7193;4084;TXZH42;JUANITA
7194;3332;TXZH43;JUANITA
7195;1341;TXZH44;JUANITA
7196;2714;TXZH45;JUANITA
7197;3725;TXZH46;PIE ANDINO
7198;1116;TXZH47;PIE ANDINO
7199;3085;TXZH48;PIE ANDINO
