Fecha;Interno;Patente;SOH [%];Terminal
07-01-2025;3103;STHK38;92;SANTA MARTA
07-01-2025;3058;STHB36;92;SANTA MARTA
07-01-2025;3102;STHK36;91;SANTA MARTA
07-01-2025;3122;STHR36;91;SANTA MARTA
07-01-2025;3053;STGZ62;92;SANTA MARTA
07-01-2025;3052;STGZ28;92;SANTA MARTA
07-01-2025;3124;STHR60;91;SANTA MARTA
07-01-2025;3111;STHL29;92;SANTA MARTA
07-01-2025;3108;STHK70;92;SANTA MARTA
07-01-2025;3055;STHB12;92;SANTA MARTA
07-01-2025;3063;STHC54;92;SANTA MARTA
07-01-2025;3115;STHL51;91;SANTA MARTA
07-01-2025;3113;STHL42;92;SANTA MARTA
07-01-2025;3107;STHK69;91;SANTA MARTA
07-01-2025;3089;STHJ72;92;SANTA MARTA
07-01-2025;3110;STHL27;92;SANTA MARTA
07-01-2025;3082;STHF77;93;SANTA MARTA
07-01-2025;3123;STHR46;92;SANTA MARTA
07-01-2025;3101;STHK28;92;SANTA MARTA
07-01-2025;3093;STHJ89;92;SANTA MARTA
07-01-2025;3087;STHJ61;92;SANTA MARTA
07-01-2025;3099;STHK20;91;SANTA MARTA
07-01-2025;3109;STHL11;92;SANTA MARTA
07-01-2025;3125;STHR72;92;SANTA MARTA
07-01-2025;3073;STHF31;92;SANTA MARTA
07-01-2025;3096;STHK10;92;SANTA MARTA
07-01-2025;3080;STHF70;92;SANTA MARTA
07-01-2025;3098;STHK13;92;SANTA MARTA
07-01-2025;3117;STHP12;91;SANTA MARTA
07-01-2025;3092;STHJ86;92;SANTA MARTA
07-01-2025;3116;STHL95;92;SANTA MARTA
07-01-2025;3116;STHL95;92;SANTA MARTA
07-01-2025;3118;STHP52;93;SANTA MARTA
07-01-2025;3083;STHF78;92;SANTA MARTA
07-01-2025;3120;STHR18;92;SANTA MARTA
07-01-2025;3112;STHL35;91;SANTA MARTA
07-01-2025;3114;STHL46;91;SANTA MARTA
07-01-2025;3100;STHK27;91;SANTA MARTA
07-01-2025;3061;STHC45;92;SANTA MARTA
07-01-2025;3061;STHC45;92;SANTA MARTA
07-01-2025;3084;STHF82;91;SANTA MARTA
07-01-2025;3105;STHK53;92;SANTA MARTA
07-01-2025;3119;STHP97;92;SANTA MARTA
07-01-2025;3056;STHB21;92;SANTA MARTA
07-01-2025;3095;STHJ99;91;SANTA MARTA
07-01-2025;3078;STHF54;92;SANTA MARTA
07-01-2025;3085;STHF84;92;SANTA MARTA
07-01-2025;3097;STHK12;92;SANTA MARTA
07-01-2025;3030;SKHG70;91;CONDELL
07-01-2025;3121;STHR23;93;SANTA MARTA
07-01-2025;3064;STHC69;93;SANTA MARTA
07-01-2025;7118;SRVL59;91;PIE ANDINO
